Sabonnères,ZZZZ,"43.4543137951,1.0742365999",9999
CDT Fayolle,ZZZZ,"49.8851482948,1.0825776998",9999
Le Blanc Airport,LFEL,"46.6207999949,1.0874999998",9999
Dreux-Louvillier Air Base,ZZZZ,"48.6476269949,1.1021299998",9999
Crowfield Airfield,EGSO,"52.1711005948,1.1111099998",9999
La Plagne Bouirex Airport,ZZZZ,"42.8666686952,1.1383329998",9999
Maypole Airfield,ZZZZ,"51.3396384948,1.1560415998",9999
Aeroport de Reus,ZZZZ,"41.1480343953,1.1572126998",9999
Reus Air Base,ZZZZ,"41.1473998953,1.1671699998",9999
Aéroport International de Limoges-Bellegarde,ZZZZ,"45.8624597950,1.1769295998",9999
Aéroport de Rouen Vallée de Seine,ZZZZ,"49.3881149948,1.1825129998",9999
Condat-Sur-Vezere Airport,ZZZZ,"45.0999984950,1.2169999998",9999
Évreux-Fauville (BA 105) Air Base,ZZZZ,"49.0287017949,1.2198599998",9999
Aéroport de Sarlat Domme,ZZZZ,"44.7933005950,1.2447199998",9999
Aérodrome Clément Ader,ZZZZ,"43.4502065951,1.2663918998",9999
Aleu Airport,ZZZZ,"42.9000014951,1.2749999998",9999
Kent International Airport,EGMH,"51.3432311948,1.3489741998",9999
Former RAF Coltishall,EGYC,"52.7570248947,1.3510785998",9999
Dreux Vernouillet Airport,LFON,"48.7066993949,1.3627799998",9999
LF 4128,ZZZZ,"47.4582019949,1.3664853998",9999
Aéroport Toulouse-Blagnac,ZZZZ,"43.6349882951,1.3677551998",9999
Aeroport des Codolar,ZZZZ,"38.8734552954,1.3723468998",9999
Aeròdrom dels Pirineus-Alt Urgell Airport,ZZZZ,"42.3386001952,1.4091699998",9999
Seething Airfield,EGSJ,"52.5112942948,1.4174610998",9999
Aérodrome,LESL,"43.3685322951,1.4422977998",9999
Brive-Laroche,LFBV,"45.1508172950,1.4720992998",9999
Montaudran Airport,LFIO,"43.5708108951,1.4800734998",9999
Aérodrome de Lasbordes,ZZZZ,"43.5865967951,1.5006879998",9999
Aeròdrom de Calaf - Sallavinera,ZZZZ,"41.7431560952,1.5610211998",9999
Berck sur Mer Airport,LFAM,"50.4230994948,1.5919399998",9999
Aérodrome de la Bourdine,ZZZZ,"46.5960850950,1.5999352998",9999
Le Touquet,LFAT,"50.5183479948,1.6177619998",9999
Beccles Airport,EGSM,"52.4352988948,1.6183299998",9999
Châteauroux Villers Airport,LFEJ,"46.8418998949,1.6211099998",9999
